name,location,type,category,ranking,description
"Indian Institute of Technology (IIT) Delhi","New Delhi, Delhi",government,engineering,1,"Premier engineering institute with excellent research facilities"
"Indian Institute of Technology (IIT) Bombay","Mumbai, Maharashtra",government,engineering,2,"Top technical institute with world-class infrastructure"
"Indian Institute of Technology (IIT) Madras","Chennai, Tamil Nadu",government,engineering,3,"Leading engineering college in South India"
"Indian Institute of Technology (IIT) Kanpur","Kanpur, Uttar Pradesh",government,engineering,4,"Renowned for computer science and aerospace engineering"
"Indian Institute of Technology (IIT) Kharagpur","Kharagpur, West Bengal",government,engineering,5,"First IIT established in India"
"Indian Institute of Technology (IIT) Roorkee","Roorkee, Uttarakhand",government,engineering,6,"Premier institute for civil and architecture"
"Indian Institute of Technology (IIT) Guwahati","Guwahati, Assam",government,engineering,7,"Leading institute in North East India"
"National Institute of Technology (NIT) Trichy","Tiruchirappalli, Tamil Nadu",government,engineering,8,"Top NIT with excellent placement records"
"National Institute of Technology (NIT) Warangal","Warangal, Telangana",government,engineering,9,"Premier NIT in South India"
"National Institute of Technology (NIT) Surathkal","Surathkal, Karnataka",government,engineering,10,"Excellent engineering college near Mangalore"
"All India Institute of Medical Sciences (AIIMS) Delhi","New Delhi, Delhi",government,medical,1,"Premier medical institute in India"
"Christian Medical College (CMC) Vellore","Vellore, Tamil Nadu",private,medical,2,"Top private medical college"
"Post Graduate Institute (PGIMER)","Chandigarh, Chandigarh",government,medical,3,"Leading medical research institute"
"Indian Institute of Management (IIM) Ahmedabad","Ahmedabad, Gujarat",government,management,1,"Top business school in India"
"Indian Institute of Management (IIM) Bangalore","Bangalore, Karnataka",government,management,2,"Premier management institute"
"Indian Institute of Management (IIM) Calcutta","Kolkata, West Bengal",government,management,3,"One of the oldest IIMs"
"University of Delhi","New Delhi, Delhi",government,university,1,"Premier central university"
"Jawaharlal Nehru University (JNU)","New Delhi, Delhi",government,university,2,"Leading research university"
"Banaras Hindu University (BHU)","Varanasi, Uttar Pradesh",government,university,3,"Large residential university"
"BITS Pilani","Pilani, Rajasthan",private,engineering,15,"Top private engineering college"
"Vellore Institute of Technology (VIT)","Vellore, Tamil Nadu",private,engineering,20,"Leading private university"
"SRM Institute of Science and Technology","Chennai, Tamil Nadu",private,engineering,25,"Well-known private institution"
"Manipal Institute of Technology","Manipal, Karnataka",private,engineering,30,"Renowned private engineering college"
"Anna University","Chennai, Tamil Nadu",government,university,10,"Top state technical university"
"Jadavpur University","Kolkata, West Bengal",government,university,12,"Premier state university"
"IIIT Hyderabad","Hyderabad, Telangana",government,engineering,11,"Top computer science institute"
"IIIT Bangalore","Bangalore, Karnataka",government,engineering,13,"Leading IT institute"
"IIIT Delhi","New Delhi, Delhi",government,engineering,14,"Excellent IT and CS programs"
"NIT Rourkela","Rourkela, Odisha",government,engineering,16,"Premier NIT in Eastern India"
"NIT Calicut","Kozhikode, Kerala",government,engineering,17,"Top NIT in Kerala"
"NIT Jaipur","Jaipur, Rajasthan",government,engineering,18,"Leading NIT in Rajasthan"
"IIM Lucknow","Lucknow, Uttar Pradesh",government,management,4,"Top management institute"
"IIM Kozhikode","Kozhikode, Kerala",government,management,5,"Premier IIM in South India"
"IIM Indore","Indore, Madhya Pradesh",government,management,6,"Leading business school"
"Delhi Technological University (DTU)","New Delhi, Delhi",government,engineering,19,"Premier state engineering college"
"Netaji Subhas University of Technology (NSUT)","New Delhi, Delhi",government,engineering,21,"Top engineering college in Delhi"
"PSG College of Technology","Coimbatore, Tamil Nadu",private,engineering,35,"Well-established private college"
"SASTRA University","Thanjavur, Tamil Nadu",private,university,40,"Leading private university"
"Amity University","Noida, Uttar Pradesh",private,university,45,"Large private university"
"Lovely Professional University (LPU)","Phagwara, Punjab",private,university,50,"One of the largest private universities"
